id,date,subscribers
5734,2017-11-02 00:00:00.000000,161597
5735,2017-11-03 00:00:00.000000,161597
5736,2017-11-04 00:00:00.000000,161597
5737,2017-11-05 00:00:00.000000,161597
5738,2017-11-06 00:00:00.000000,161597
5739,2017-11-07 00:00:00.000000,161597
5740,2017-11-08 00:00:00.000000,161597
5741,2017-11-09 00:00:00.000000,161597
5742,2017-11-10 00:00:00.000000,161597
5743,2017-11-11 00:00:00.000000,161597
5744,2017-11-12 00:00:00.000000,161597
5745,2017-11-13 00:00:00.000000,161597
5746,2017-11-14 00:00:00.000000,161597
5747,2017-11-15 00:00:00.000000,161597
5748,2017-11-16 00:00:00.000000,161597
5749,2017-11-17 00:00:00.000000,161597
5750,2017-11-18 00:00:00.000000,161597
5751,2017-11-19 00:00:00.000000,161597
5752,2017-11-20 00:00:00.000000,161597
5753,2017-11-21 00:00:00.000000,161597
5754,2017-11-22 00:00:00.000000,161597
5755,2017-11-23 00:00:00.000000,161597
5756,2017-11-24 00:00:00.000000,161597
5757,2017-11-25 00:00:00.000000,161597
5758,2017-11-26 00:00:00.000000,161597
5759,2017-11-27 00:00:00.000000,161597
5760,2017-11-28 00:00:00.000000,161597
5761,2017-11-29 00:00:00.000000,161597
5762,2017-11-30 00:00:00.000000,161597
5763,2017-12-01 00:00:00.000000,161597
5764,2017-12-02 00:00:00.000000,161597
5765,2017-12-03 00:00:00.000000,161597
5766,2017-12-04 00:00:00.000000,161597
5767,2017-12-05 00:00:00.000000,161597
5768,2017-12-06 00:00:00.000000,161597
5769,2017-12-07 00:00:00.000000,161597
5770,2017-12-08 00:00:00.000000,161597
5771,2017-12-09 00:00:00.000000,161597
5772,2017-12-10 00:00:00.000000,161597
5773,2017-12-11 00:00:00.000000,161597
5774,2017-12-12 00:00:00.000000,161597
5775,2017-12-13 00:00:00.000000,161597
5776,2017-12-14 00:00:00.000000,161597
5777,2017-12-15 00:00:00.000000,161597
5778,2017-12-16 00:00:00.000000,161597
5779,2017-12-17 00:00:00.000000,161597
5780,2017-12-18 00:00:00.000000,161597
5781,2017-12-19 00:00:00.000000,161597
5782,2017-12-20 00:00:00.000000,161597
5783,2017-12-21 00:00:00.000000,161597
5784,2017-12-22 00:00:00.000000,161597
5785,2017-12-23 00:00:00.000000,161597
5786,2017-12-24 00:00:00.000000,161597
5787,2017-12-25 00:00:00.000000,161597
5788,2017-12-26 00:00:00.000000,161597
5789,2017-12-27 00:00:00.000000,161597
5790,2017-12-28 00:00:00.000000,161597
5791,2017-12-29 00:00:00.000000,161597
5792,2017-12-30 00:00:00.000000,161597
5793,2017-12-31 00:00:00.000000,161597
5794,2018-01-01 00:00:00.000000,161597
5795,2018-01-02 00:00:00.000000,161597
5796,2018-01-03 00:00:00.000000,161597
5797,2018-01-04 00:00:00.000000,161597
5798,2018-01-05 00:00:00.000000,161597
5799,2018-01-06 00:00:00.000000,161597
5800,2018-01-07 00:00:00.000000,161597
5801,2018-01-08 00:00:00.000000,161597
5802,2018-01-09 00:00:00.000000,161597
5803,2018-01-10 00:00:00.000000,161597
5804,2018-01-11 00:00:00.000000,161597
5805,2018-01-12 00:00:00.000000,161597
5806,2018-01-13 00:00:00.000000,161597
5807,2018-01-14 00:00:00.000000,161597
5808,2018-01-15 00:00:00.000000,161597
5809,2018-01-16 00:00:00.000000,161597
5810,2018-01-17 00:00:00.000000,161597
5811,2018-01-18 00:00:00.000000,161597
5812,2018-01-19 00:00:00.000000,161597
5813,2018-01-20 00:00:00.000000,161597
5814,2018-01-21 00:00:00.000000,161597
5815,2018-01-22 00:00:00.000000,161597
5816,2018-01-23 00:00:00.000000,161597
5817,2018-01-24 00:00:00.000000,161597
5818,2018-01-25 00:00:00.000000,161597
5819,2018-01-26 00:00:00.000000,161597
5820,2018-01-27 00:00:00.000000,161597
5821,2018-01-28 00:00:00.000000,161597
5822,2018-01-29 00:00:00.000000,161597
5823,2018-01-30 00:00:00.000000,161597
5824,2018-01-31 00:00:00.000000,161597
5825,2018-02-01 00:00:00.000000,161597
5826,2018-02-02 00:00:00.000000,161597
5827,2018-02-03 00:00:00.000000,161597
5828,2018-02-04 00:00:00.000000,161597
5829,2018-02-05 00:00:00.000000,161597
5830,2018-02-06 00:00:00.000000,161597
5831,2018-02-07 00:00:00.000000,161597
5832,2018-02-08 00:00:00.000000,161597
5833,2018-02-09 00:00:00.000000,161597
5834,2018-02-10 00:00:00.000000,161597
5835,2018-02-11 00:00:00.000000,161597
5836,2018-02-12 00:00:00.000000,161597
5837,2018-02-13 00:00:00.000000,161597
5838,2018-02-14 00:00:00.000000,161597
5839,2018-02-15 00:00:00.000000,161597
5840,2018-02-16 00:00:00.000000,161597
5841,2018-02-17 00:00:00.000000,161597
5842,2018-02-18 00:00:00.000000,161597
5843,2018-02-19 00:00:00.000000,161597
5844,2018-02-20 00:00:00.000000,161597
5845,2018-02-21 00:00:00.000000,161597
5846,2018-02-22 00:00:00.000000,161597
5847,2018-02-23 00:00:00.000000,161597
5848,2018-02-24 00:00:00.000000,161597
5849,2018-02-25 00:00:00.000000,161597
5850,2018-02-26 00:00:00.000000,161597
5851,2018-02-27 00:00:00.000000,161597
5852,2018-02-28 00:00:00.000000,161597
5853,2018-03-01 00:00:00.000000,161597
5854,2018-03-02 00:00:00.000000,161597
5855,2018-03-03 00:00:00.000000,161597
5856,2018-03-04 00:00:00.000000,161597
5857,2018-03-05 00:00:00.000000,161597
5858,2018-03-06 00:00:00.000000,161597
5859,2018-03-07 00:00:00.000000,161597
5860,2018-03-08 00:00:00.000000,161597
5861,2018-03-09 00:00:00.000000,161597
5862,2018-03-10 00:00:00.000000,161597
5863,2018-03-11 00:00:00.000000,161597
5864,2018-03-12 00:00:00.000000,161597
5865,2018-03-13 00:00:00.000000,161597
5866,2018-03-14 00:00:00.000000,161597
5867,2018-03-15 00:00:00.000000,161597
5868,2018-03-16 00:00:00.000000,161597
5869,2018-03-17 00:00:00.000000,161597
5870,2018-03-18 00:00:00.000000,161597
5871,2018-03-19 00:00:00.000000,161597
5872,2018-03-20 00:00:00.000000,161597
5873,2018-03-21 00:00:00.000000,161597
5874,2018-03-22 00:00:00.000000,161597
5875,2018-03-23 00:00:00.000000,161597
5876,2018-03-24 00:00:00.000000,161597
5877,2018-03-25 00:00:00.000000,161597
5878,2018-03-26 00:00:00.000000,161597
5879,2018-03-27 00:00:00.000000,161597
5880,2018-03-28 00:00:00.000000,161597
5881,2018-03-29 00:00:00.000000,161597
5882,2018-03-30 00:00:00.000000,161597
5883,2018-03-31 00:00:00.000000,161597
5884,2018-04-01 00:00:00.000000,161597
5885,2018-04-02 00:00:00.000000,161598
5886,2018-04-03 00:00:00.000000,161598
5887,2018-04-04 00:00:00.000000,161598
5888,2018-04-05 00:00:00.000000,161598
5889,2018-04-06 00:00:00.000000,161598
5890,2018-04-07 00:00:00.000000,161598
5891,2018-04-08 00:00:00.000000,161598
5892,2018-04-09 00:00:00.000000,161598
5893,2018-04-10 00:00:00.000000,161598
5894,2018-04-11 00:00:00.000000,161598
5895,2018-04-12 00:00:00.000000,161599
5896,2018-04-13 00:00:00.000000,161599
5897,2018-04-14 00:00:00.000000,161599
5898,2018-04-15 00:00:00.000000,161599
5899,2018-04-16 00:00:00.000000,161599
5900,2018-04-17 00:00:00.000000,161599
5901,2018-04-18 00:00:00.000000,161599
5902,2018-04-19 00:00:00.000000,161599
5903,2018-04-20 00:00:00.000000,161599
5904,2018-04-21 00:00:00.000000,161599
5905,2018-04-22 00:00:00.000000,161599
5906,2018-04-23 00:00:00.000000,161599
5907,2018-04-24 00:00:00.000000,161599
5908,2018-04-25 00:00:00.000000,161599
5909,2018-04-26 00:00:00.000000,161599
5910,2018-04-27 00:00:00.000000,161599
5911,2018-04-28 00:00:00.000000,161599
5912,2018-04-29 00:00:00.000000,161599
5913,2018-04-30 00:00:00.000000,161599
5914,2018-05-01 00:00:00.000000,161599
5915,2018-05-02 00:00:00.000000,161599
5916,2018-05-03 00:00:00.000000,161599
5917,2018-05-04 00:00:00.000000,161599
5918,2018-05-05 00:00:00.000000,161599
5919,2018-05-06 00:00:00.000000,161599
5920,2018-05-07 00:00:00.000000,161599
5921,2018-05-08 00:00:00.000000,161599
5922,2018-05-09 00:00:00.000000,161599
5923,2018-05-10 00:00:00.000000,161599
5924,2018-05-11 00:00:00.000000,161599
5925,2018-05-12 00:00:00.000000,161599
5926,2018-05-13 00:00:00.000000,161599
5927,2018-05-14 00:00:00.000000,161599
5928,2018-05-15 00:00:00.000000,161599
5929,2018-05-16 00:00:00.000000,161599
5930,2018-05-17 00:00:00.000000,161599
5931,2018-05-18 00:00:00.000000,161599
5932,2018-05-19 00:00:00.000000,161599
5933,2018-05-20 00:00:00.000000,161599
5934,2018-05-21 00:00:00.000000,161600
5935,2018-05-22 00:00:00.000000,161600
5936,2018-05-23 00:00:00.000000,161600
5937,2018-05-24 00:00:00.000000,161600
5938,2018-05-25 00:00:00.000000,161600
5939,2018-05-26 00:00:00.000000,161600
5940,2018-05-27 00:00:00.000000,161600
5941,2018-05-28 00:00:00.000000,161600
5942,2018-05-29 00:00:00.000000,161600
5943,2018-05-30 00:00:00.000000,161600
5944,2018-05-31 00:00:00.000000,161600
5945,2018-06-01 00:00:00.000000,161600
5946,2018-06-02 00:00:00.000000,161600
5947,2018-06-03 00:00:00.000000,161600
5948,2018-06-04 00:00:00.000000,161600
5949,2018-06-05 00:00:00.000000,161600
5950,2018-06-06 00:00:00.000000,161600
5951,2018-06-07 00:00:00.000000,161600
5952,2018-06-08 00:00:00.000000,161600
5953,2018-06-09 00:00:00.000000,161600
5954,2018-06-10 00:00:00.000000,161600
5955,2018-06-11 00:00:00.000000,161600
5956,2018-06-12 00:00:00.000000,161600
5957,2018-06-13 00:00:00.000000,161600
5958,2018-06-14 00:00:00.000000,161600
5959,2018-06-15 00:00:00.000000,161600
5960,2018-06-16 00:00:00.000000,161600
5961,2018-06-17 00:00:00.000000,161600
5962,2018-06-18 00:00:00.000000,161600
5963,2018-06-19 00:00:00.000000,161600
5964,2018-06-20 00:00:00.000000,161600
5965,2018-06-21 00:00:00.000000,161600
5966,2018-06-22 00:00:00.000000,161600
5967,2018-06-23 00:00:00.000000,161600
5968,2018-06-24 00:00:00.000000,161600
5969,2018-06-25 00:00:00.000000,161600
5970,2018-06-26 00:00:00.000000,161600
5971,2018-06-27 00:00:00.000000,161600
5972,2018-06-28 00:00:00.000000,161600
5973,2018-06-29 00:00:00.000000,161601
5974,2018-06-30 00:00:00.000000,161601
5975,2018-07-01 00:00:00.000000,161601
5976,2018-07-02 00:00:00.000000,161601
5977,2018-07-03 00:00:00.000000,161601
5978,2018-07-04 00:00:00.000000,161601
5979,2018-07-05 00:00:00.000000,161601
5980,2018-07-06 00:00:00.000000,161601
5981,2018-07-07 00:00:00.000000,161601
5982,2018-07-08 00:00:00.000000,161601
5983,2018-07-09 00:00:00.000000,161601
5984,2018-07-10 00:00:00.000000,161601
5985,2018-07-11 00:00:00.000000,161601
5986,2018-07-12 00:00:00.000000,161601
5987,2018-07-13 00:00:00.000000,161601
5988,2018-07-14 00:00:00.000000,161601
5989,2018-07-15 00:00:00.000000,161601
5990,2018-07-16 00:00:00.000000,161601
5991,2018-07-17 00:00:00.000000,161601
5992,2018-07-18 00:00:00.000000,161601
5993,2018-07-19 00:00:00.000000,161601
5994,2018-07-20 00:00:00.000000,161601
5995,2018-07-21 00:00:00.000000,161601
5996,2018-07-22 00:00:00.000000,161601
5997,2018-07-23 00:00:00.000000,161601
5998,2018-07-24 00:00:00.000000,161601
5999,2018-07-25 00:00:00.000000,161601
6000,2018-07-26 00:00:00.000000,161601
6001,2018-07-27 00:00:00.000000,161601
6002,2018-07-28 00:00:00.000000,161602
6003,2018-07-29 00:00:00.000000,161602
6004,2018-07-30 00:00:00.000000,161602
6005,2018-07-31 00:00:00.000000,161602
6006,2018-08-01 00:00:00.000000,161602
6007,2018-08-02 00:00:00.000000,161602
6008,2018-08-03 00:00:00.000000,161602
6009,2018-08-04 00:00:00.000000,161602
6010,2018-08-05 00:00:00.000000,161602
6011,2018-08-06 00:00:00.000000,161602
6012,2018-08-07 00:00:00.000000,161602
6013,2018-08-08 00:00:00.000000,161602
6014,2018-08-09 00:00:00.000000,161602
6015,2018-08-10 00:00:00.000000,161602
6016,2018-08-11 00:00:00.000000,161602
6017,2018-08-12 00:00:00.000000,161602
6018,2018-08-13 00:00:00.000000,161602
6019,2018-08-14 00:00:00.000000,161602
6020,2018-08-15 00:00:00.000000,161602
6021,2018-08-16 00:00:00.000000,161602
6022,2018-08-17 00:00:00.000000,161602
6023,2018-08-18 00:00:00.000000,161602
6024,2018-08-19 00:00:00.000000,161602
6025,2018-08-20 00:00:00.000000,161602
6026,2018-08-21 00:00:00.000000,161602
6027,2018-08-22 00:00:00.000000,161602
6028,2018-08-23 00:00:00.000000,161602
6029,2018-08-24 00:00:00.000000,161602
6030,2018-08-25 00:00:00.000000,161602
6031,2018-08-26 00:00:00.000000,161602
6032,2018-08-27 00:00:00.000000,161602
6033,2018-08-28 00:00:00.000000,161602
6034,2018-08-29 00:00:00.000000,161602
6035,2018-08-30 00:00:00.000000,161602
6036,2018-08-31 00:00:00.000000,161602
6037,2018-09-01 00:00:00.000000,161602
6038,2018-09-02 00:00:00.000000,161602
6039,2018-09-03 00:00:00.000000,161602
6040,2018-09-04 00:00:00.000000,161602
6041,2018-09-05 00:00:00.000000,161602
6042,2018-09-06 00:00:00.000000,161602
6043,2018-09-07 00:00:00.000000,161602
6044,2018-09-08 00:00:00.000000,161602
6045,2018-09-09 00:00:00.000000,161602
6046,2018-09-10 00:00:00.000000,161602
6047,2018-09-11 00:00:00.000000,161602
6048,2018-09-12 00:00:00.000000,161602
6049,2018-09-13 00:00:00.000000,161602
6050,2018-09-14 00:00:00.000000,161602
6051,2018-09-15 00:00:00.000000,161602
6052,2018-09-16 00:00:00.000000,161602
6053,2018-09-17 00:00:00.000000,161602
6054,2018-09-18 00:00:00.000000,161602
6055,2018-09-19 00:00:00.000000,161602
6056,2018-09-20 00:00:00.000000,161602
6057,2018-09-21 00:00:00.000000,161602
6058,2018-09-22 00:00:00.000000,161602
6059,2018-09-23 00:00:00.000000,161602
6060,2018-09-24 00:00:00.000000,161602
6061,2018-09-25 00:00:00.000000,161602
6062,2018-09-26 00:00:00.000000,161602
